	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	0	65.0	98.0	35.0	129.0	112.0	48.0	114.0	19.0	115.0	86.0	121.0	123.0	93.0																																		
1	128	65.0	1.0	2.0	75.0	108.0	86.0	90.0																																								
2	65	1.0	2.0	3.0	26.0	36.0	102.0	5.0	73.0	75.0	108.0	109.0	107.0	80.0	51.0	19.0	90.0																															
3	129	2.0	3.0	4.0	5.0	10.0	18.0	19.0	24.0	26.0	35.0	37.0	41.0	45.0	46.0	49.0	51.0	60.0	65.0	66.0	74.0	75.0	81.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	104.0	107.0	109.0	112.0	114.0	115.0	116.0	119.0	127.0									
4	65	129.0	3.0	4.0	98.0	101.0	104.0	105.0	74.0	75.0	42.0	46.0	17.0	52.0	26.0	91.0	60.0																															
5	128	2.0	35.0	3.0	5.0	37.0	71.0	10.0	109.0	80.0	17.0	114.0	19.0	115.0	54.0	118.0	93.0																															
6	86	6.0	94.0																																													
7	7	8.0	19.0	44.0	47.0	48.0	56.0	65.0	74.0	75.0	80.0	90.0	94.0	98.0	101.0	104.0	114.0	115.0	118.0	124.0	127.0																											
8	68	7.0	8.0	104.0	74.0	48.0	114.0	115.0	116.0	89.0	31.0																																					
9	104	9.0	37.0	49.0																																												
10	129	3.0	5.0	10.0	12.0	17.0	19.0	20.0	24.0	26.0	29.0	34.0	35.0	41.0	46.0	56.0	63.0	65.0	71.0	85.0	91.0	92.0	98.0	102.0	104.0	107.0	108.0	109.0	112.0	114.0	120.0																	
11	51	11.0	126.0																																													
12	10	91.0	12.0																																													
13	116	13.0	110.0																																													
14	74	75.0	14.0	16.0	117.0	90.0	126.0																																									
15	130	99.0	104.0	74.0	15.0	83.0	53.0	21.0	56.0	121.0																																						
16	74	14.0	16.0	117.0	90.0	126.0																																										
17	128	129.0	4.0	5.0	10.0	17.0	19.0	25.0	64.0	65.0	72.0	79.0	87.0	92.0	104.0	105.0	106.0	107.0	114.0																													
18	107	18.0	3.0																																													
19	0	129.0	2.0	3.0	5.0	7.0	10.0	17.0	19.0	25.0	34.0	35.0	36.0	45.0	64.0	65.0	69.0	70.0	73.0	80.0	87.0	91.0	93.0	96.0	98.0	101.0	104.0	107.0	109.0	112.0	114.0	116.0	119.0	120.0	121.0													
20	32	34.0	10.0	46.0	51.0	20.0	91.0	28.0																																								
21	65	99.0	74.0	15.0	80.0	85.0	21.0	118.0	56.0																																							
22	65	125.0	22.0																																													
23	23																																															
24	65	98.0	3.0	35.0	90.0	102.0	10.0	107.0	108.0	110.0	84.0	24.0	26.0	63.0																																		
25	64	65.0	129.0	90.0	70.0	104.0	73.0	72.0	107.0	17.0	19.0	51.0	84.0	87.0	25.0	126.0	29.0	30.0																														
26	129	2.0	3.0	4.0	10.0	107.0	109.0	46.0	51.0	24.0	26.0	63.0																																				
27	104	27.0	85.0																																													
28	35	70.0	104.0	51.0	20.0	84.0	28.0																																									
29	128	65.0	35.0	10.0	81.0	51.0	120.0	25.0	90.0	91.0	92.0	29.0																																				
30	128	129.0	70.0	72.0	105.0	25.0	30.0																																									
31	68	38.0	8.0	112.0	116.0	89.0	31.0																																									
32	32	20.0	46.0																																													
33	33																																															
34	129	34.0	105.0	10.0	107.0	108.0	80.0	51.0	20.0	19.0	120.0	91.0																																				
35	0	129.0	130.0	3.0	5.0	10.0	19.0	24.0	28.0	29.0	35.0	37.0	69.0	71.0	80.0	86.0	91.0	93.0	102.0	104.0	107.0	108.0	112.0	116.0	119.0	120.0	121.0																					
36	2	19.0	36.0	109.0																																												
37	129	35.0	3.0	37.0	5.0	104.0	9.0	49.0	114.0	115.0	121.0	93.0																																				
38	112	38.0	31.0																																													
39	39																																															
40	71	40.0	41.0	111.0	113.0	57.0																																										
41	65	3.0	71.0	40.0	41.0	10.0	111.0	113.0	57.0	92.0																																						
42	98	4.0	101.0	42.0	112.0	55.0	120.0	127.0																																								
43	48	115.0	43.0	69.0																																												
44	44	127.0	7.0																																													
45	96	3.0	45.0	112.0	19.0																																											
46	32	129.0	98.0	3.0	4.0	71.0	10.0	77.0	46.0	112.0	20.0	85.0	116.0	118.0	26.0	123.0	60.0																															
47	124	7.0	47.0																																													
48	0	98.0	69.0	7.0	104.0	8.0	74.0	43.0	48.0	112.0	114.0	115.0	90.0	123.0	93.0																																	
49	3	37.0	104.0	9.0	75.0	107.0	49.0	51.0	91.0																																							
50	50	92.0	82.0																																													
51	128	2.0	3.0	34.0	104.0	75.0	107.0	11.0	49.0	51.0	20.0	84.0	25.0	26.0	91.0	28.0	29.0	126.0																														
52	52	4.0	60.0																																													
53	130	104.0	74.0	15.0	83.0	53.0	56.0	121.0																																								
54	118	5.0	54.0																																													
55	42	112.0	55.0	120.0	127.0																																											
56	130	7.0	10.0	15.0	21.0	53.0	56.0	57.0	64.0	71.0	74.0	80.0	83.0	98.0	99.0	101.0	104.0	112.0	118.0	121.0																												
57	71	104.0	40.0	41.0	111.0	80.0	113.0	56.0	57.0	90.0																																						
58	64	58.0	87.0																																													
59	104	59.0	78.0																																													
60	64	66.0	3.0	4.0	104.0	46.0	92.0	52.0	85.0	60.0	127.0																																					
61	64	100.0	61.0																																													
62	83	84.0	62.0																																													
63	128	10.0	75.0	84.0	24.0	26.0	63.0																																									
64	129	17.0	19.0	25.0	56.0	58.0	60.0	61.0	64.0	70.0	73.0	80.0	85.0	87.0	92.0	100.0	101.0	103.0	104.0	109.0	112.0	116.0																										
65	0	1.0	2.0	3.0	4.0	129.0	7.0	10.0	17.0	19.0	21.0	22.0	24.0	25.0	29.0	41.0	65.0	69.0	73.0	75.0	80.0	85.0	90.0	91.0	92.0	94.0	98.0	101.0	102.0	104.0	107.0	108.0	110.0	118.0	121.0	125.0	126.0	127.0										
66	66	3.0	104.0	92.0	60.0																																											
67	67																																															
68	68	8.0	116.0	89.0	31.0																																											
69	65	129.0	35.0	69.0	101.0	104.0	43.0	112.0	48.0	114.0	19.0	115.0	116.0	119.0	120.0	121.0																																
70	64	128.0	70.0	104.0	73.0	105.0	19.0	84.0	25.0	28.0	30.0																																					
71	98	35.0	5.0	71.0	40.0	41.0	10.0	46.0	111.0	80.0	113.0	56.0	57.0																																			
72	129	72.0	17.0	87.0	25.0	30.0																																										
73	64	65.0	2.0	70.0	102.0	73.0	75.0	107.0	108.0	109.0	110.0	19.0	25.0	127.0																																		
74	129	130.0	3.0	4.0	7.0	8.0	14.0	15.0	16.0	21.0	48.0	53.0	56.0	74.0	75.0	76.0	83.0	90.0	99.0	104.0	114.0	115.0	117.0	121.0	126.0																							
75	128	1.0	2.0	3.0	4.0	7.0	14.0	49.0	51.0	63.0	65.0	73.0	74.0	75.0	86.0	90.0	91.0	93.0	102.0	104.0	107.0	112.0	121.0																									
76	129	74.0	76.0																																													
77	123	77.0	46.0																																													
78	104	59.0	78.0																																													
79	128	17.0	79.0																																													
80	2	130.0	5.0	7.0	19.0	21.0	34.0	35.0	56.0	57.0	64.0	65.0	71.0	80.0	85.0	98.0	107.0	112.0	116.0	118.0	121.0																											
81	3	107.0	81.0	119.0	91.0	92.0	29.0	94.0	95.0																																							
82	82	50.0	92.0																																													
83	130	104.0	74.0	15.0	83.0	84.0	53.0	56.0	121.0	62.0																																						
84	70	104.0	51.0	84.0	83.0	24.0	25.0	28.0	62.0	63.0																																						
85	64	65.0	104.0	10.0	109.0	46.0	80.0	85.0	21.0	118.0	90.0	27.0	60.0																																			
86	128	1.0	0.0	35.0	6.0	75.0	86.0	94.0																																								
87	64	72.0	109.0	17.0	19.0	87.0	88.0	25.0	58.0																																							
88	88	109.0	87.0																																													
89	68	8.0	116.0	89.0	31.0																																											
90	1	2.0	3.0	7.0	14.0	16.0	24.0	25.0	29.0	48.0	57.0	65.0	74.0	75.0	85.0	90.0	91.0	104.0	108.0	115.0	117.0	126.0																										
91	3	4.0	10.0	12.0	19.0	20.0	29.0	34.0	35.0	49.0	51.0	65.0	75.0	81.0	90.0	91.0	92.0	93.0	104.0	107.0	121.0																											
92	129	3.0	10.0	17.0	29.0	41.0	50.0	60.0	64.0	65.0	66.0	81.0	82.0	91.0	92.0	104.0	106.0	107.0	114.0	127.0																												
93	0	3.0	35.0	5.0	37.0	104.0	75.0	123.0	112.0	48.0	114.0	115.0	19.0	116.0	121.0	91.0	93.0																															
94	65	98.0	3.0	101.0	6.0	7.0	107.0	81.0	86.0	119.0	94.0	95.0																																				
95	3	107.0	81.0	119.0	94.0	95.0																																										
96	96	3.0	45.0	112.0	19.0																																											
97	97																																															
98	0	129.0	4.0	7.0	10.0	19.0	24.0	42.0	46.0	48.0	56.0	65.0	71.0	80.0	94.0	98.0	101.0	104.0	110.0	112.0	114.0	115.0	118.0	121.0																								
99	99	74.0	15.0	21.0	56.0																																											
100	64	100.0	61.0																																													
101	64	65.0	98.0	4.0	101.0	69.0	7.0	42.0	112.0	19.0	56.0	121.0	120.0	94.0																																		
102	65	2.0	35.0	102.0	73.0	10.0	107.0	108.0	75.0	24.0	127.0																																					
103	64	104.0	103.0																																													
104	129	130.0	3.0	4.0	7.0	8.0	9.0	10.0	15.0	17.0	19.0	25.0	27.0	28.0	35.0	37.0	48.0	49.0	51.0	53.0	56.0	57.0	59.0	60.0	64.0	65.0	66.0	69.0	70.0	74.0	75.0	78.0	83.0	84.0	85.0	90.0	91.0	92.0	93.0	98.0	103.0	104.0	107.0	112.0	114.0	115.0	119.0	121.0
105	128	34.0	4.0	70.0	105.0	17.0	30.0																																									
106	106	107.0	17.0	114.0	92.0																																											
107	129	2.0	3.0	10.0	17.0	18.0	19.0	24.0	25.0	26.0	34.0	35.0	49.0	51.0	65.0	73.0	75.0	80.0	81.0	91.0	92.0	94.0	95.0	102.0	104.0	106.0	107.0	108.0	109.0	114.0	119.0	121.0																
108	65	1.0	2.0	34.0	129.0	35.0	102.0	73.0	10.0	107.0	108.0	109.0	110.0	120.0	24.0	90.0																																
109	64	2.0	3.0	36.0	5.0	73.0	10.0	107.0	108.0	109.0	110.0	19.0	85.0	87.0	88.0	26.0																																
110	65	98.0	73.0	108.0	109.0	110.0	13.0	116.0	24.0																																							
111	71	40.0	41.0	111.0	113.0	57.0																																										
112	0	3.0	10.0	19.0	31.0	35.0	38.0	42.0	45.0	46.0	48.0	55.0	56.0	64.0	69.0	75.0	80.0	93.0	96.0	98.0	101.0	104.0	112.0	114.0	115.0	116.0	118.0	119.0	120.0	121.0	127.0																	
113	71	40.0	41.0	111.0	113.0	57.0																																										
114	0	129.0	3.0	5.0	7.0	8.0	10.0	17.0	19.0	37.0	48.0	69.0	74.0	92.0	93.0	98.0	104.0	106.0	107.0	112.0	114.0	115.0	116.0	121.0	123.0																							
115	0	129.0	3.0	5.0	7.0	8.0	37.0	43.0	48.0	69.0	74.0	90.0	93.0	98.0	104.0	112.0	114.0	115.0	116.0	121.0	123.0																											
116	129	3.0	8.0	13.0	19.0	31.0	35.0	46.0	64.0	68.0	69.0	80.0	89.0	93.0	110.0	112.0	114.0	115.0	116.0	118.0	119.0	121.0																										
117	74	14.0	16.0	117.0	90.0	126.0																																										
118	65	98.0	5.0	7.0	46.0	80.0	112.0	116.0	21.0	118.0	85.0	56.0	54.0																																			
119	3	35.0	69.0	104.0	107.0	112.0	81.0	19.0	116.0	119.0	94.0	95.0																																				
120	129	34.0	35.0	69.0	101.0	10.0	42.0	108.0	112.0	19.0	55.0	120.0	121.0	29.0	127.0																																	
121	0	129.0	130.0	15.0	19.0	35.0	37.0	53.0	56.0	65.0	69.0	74.0	75.0	80.0	83.0	91.0	93.0	98.0	101.0	104.0	107.0	112.0	114.0	115.0	116.0	120.0	121.0																					
122	122																																															
123	0	77.0	46.0	48.0	114.0	115.0	123.0	93.0																																								
124	124	47.0	7.0																																													
125	65	125.0	22.0																																													
126	65	74.0	11.0	14.0	16.0	51.0	117.0	25.0	90.0	126.0																																						
127	65	129.0	3.0	102.0	7.0	73.0	42.0	44.0	92.0	112.0	55.0	120.0	60.0	127.0																																		
128	128	1.0	5.0	70.0	105.0	75.0	79.0	17.0	51.0	86.0	29.0	30.0	63.0																																			
129	0	129.0	3.0	4.0	10.0	17.0	19.0	25.0	26.0	30.0	34.0	35.0	37.0	46.0	64.0	65.0	69.0	72.0	74.0	76.0	92.0	98.0	104.0	107.0	108.0	114.0	115.0	116.0	120.0	121.0	127.0																	
130	130	35.0	104.0	74.0	15.0	80.0	83.0	53.0	56.0	121.0																																						
